"","partitioning","price","rooms_count","useful_surface","built_surface","bathrooms_count","price_range"
"1250","decomandat",54500,2,68,80,1,"mic"
"1251","semidecomandat",119000,2,60,70,1,"mediu"
"1252","decomandat",75000,1,50,78,1,"mediu"
"1253","decomandat",88800,3,71,77,2,"mediu"
"1254","semidecomandat",579000,4,177,206,3,"mare"
"1255","decomandat",310000,3,110,110,2,"mare"
"1256","decomandat",53000,2,56,67,1,"mic"
"1257","decomandat",149000,3,77,81,2,"mare"
"1258","decomandat",95500,2,72,72,1,"mediu"
"1259","decomandat",220000,2,69,83,1,"mare"
"1260","decomandat",95000,2,60,82,1,"mediu"
"1261","decomandat",67500,1,41,59,1,"mediu"
"1262","semidecomandat",114600,2,51,64,1,"mediu"
"1263","semidecomandat",59999,2,44,52,1,"mic"
"1264","decomandat",59500,2,60,72,1,"mic"
"1265","decomandat",280000,4,130,173,2,"mare"
"1266","semidecomandat",46900,2,41,55,1,"mic"
"1267","decomandat",58900,2,55,62,1,"mic"
"1268","decomandat",168000,3,90,100,1,"mare"
"1269","decomandat",46500,1,40,40,1,"mic"
"1270","decomandat",52900,2,65,78,1,"mic"
"1271","decomandat",149900,3,80,90,2,"mare"
"1272","decomandat",169000,3,70,70,2,"mare"
"1273","semidecomandat",45900,1,32,42,1,"mic"
"1274","decomandat",480000,5,240,264,3,"mare"
"1276","decomandat",86800,3,78,80,2,"mediu"
"1277","decomandat",160000,3,120,144,2,"mare"
"1278","decomandat",78800,4,90,100,2,"mediu"
"1279","decomandat",60800,2,64,75,1,"mic"
"1280","decomandat",169900,3,107,140,2,"mare"
"1281","semidecomandat",169990,4,110,125,2,"mare"
"1282","decomandat",33000,1,33,43,1,"mic"
"1283","decomandat",62000,2,61,72,1,"mic"
"1284","decomandat",107000,3,65,72,2,"mediu"
"1285","decomandat",250000,5,150,220,3,"mare"
"1286","decomandat",99800,2,48,54,1,"mediu"
"1287","semidecomandat",48900,1,32,42,1,"mic"
"1288","semidecomandat",44000,2,45,50,1,"mic"
"1289","decomandat",84000,2,50,69,1,"mediu"
"1290","semidecomandat",37800,1,29,34,1,"mic"
"1291","decomandat",330000,3,137,195,2,"mare"
"1292","decomandat",78900,3,85,97,1,"mediu"
"1293","semidecomandat",295000,3,91,120,2,"mare"
"1294","semidecomandat",750000,4,176,215,3,"mare"
"1295","decomandat",70000,2,54,64,1,"mediu"
"1296","decomandat",226000,3,81,115,1,"mare"
"1297","semidecomandat",85000,2,34,40,1,"mediu"
"1298","semidecomandat",113000,2,56,88,2,"mediu"
"1299","decomandat",76000,2,56,65,1,"mediu"
"1300","decomandat",105000,2,50,60,1,"mediu"
"1301","semidecomandat",54990,2,47,51,1,"mic"
"1302","semidecomandat",74900,3,71,85,1,"mediu"
"1303","decomandat",97900,3,69,75,1,"mediu"
"1304","decomandat",144900,2,60,76,2,"mare"
"1305","circular",159999,3,75,83,1,"mare"
"1306","decomandat",220000,3,65,151,1,"mare"
"1307","semidecomandat",59000,2,70,85,1,"mic"
"1308","decomandat",45000,2,56,70,1,"mic"
"1309","semidecomandat",69000,3,70,75,1,"mediu"
"1310","decomandat",54525,2,59,67,1,"mic"
"1311","decomandat",75000,2,50,65,1,"mediu"
"1312","decomandat",250000,4,103,156,2,"mare"
"1313","decomandat",340000,3,137,190,2,"mare"
"1314","decomandat",67500,2,57,65,1,"mediu"
"1315","semidecomandat",75900,2,47,73,1,"mediu"
"1316","decomandat",114700,3,94,110,2,"mediu"
"1317","decomandat",89000,4,93,115,2,"mediu"
"1318","decomandat",128990,2,59,65,1,"mediu"
"1319","semidecomandat",78900,2,52,60,1,"mediu"
"1320","decomandat",61900,2,54,62,1,"mic"
"1321","decomandat",159900,3,54,54,1,"mare"
"1322","decomandat",299000,4,186,210,2,"mare"
"1323","decomandat",72860,3,81,94,2,"mediu"
"1324","decomandat",570000,4,136,157,2,"mare"
